No.,x,y,z
82,3.85081,2.05175,1.17606
83,3.83548,2.21464,1.05895
84,3.64805,3.25427,0.887045
85,3.82864,2.22077,1.2728
86,3.90388,2.01623,0.933448
87,3.73061,2.71796,1.63526
88,2.06728,7.9391,10.7348
89,2.06728,7.9391,10.7348
90,3.89114,2.20137,1.3179
91,3.39436,4.58533,1.82311
92,3.92168,2.15262,1.22107
93,3.7942,2.82733,1.69381
94,3.972,2.13491,1.28622
95,3.99929,2.19147,0.947882
96,4.07215,2.19131,1.18686
97,4.14556,2.07167,0.565976
98,4.13021,2.09538,1.44772
99,4.22136,2.1258,1.31332
100,4.50534,1.56221,0.460247
101,4.30495,2.35505,1.10158
102,4.28729,2.57047,1.82966
103,4.37383,2.40012,1.62472
104,4.48321,2.09034,1.27502
105,4.45408,2.454,0.697884
106,4.89895,-0.292573,2.09319
107,5.0712,-0.674747,1.1172
108,4.52909,2.11703,1.47325
109,5.11586,-0.74565,1.24867
110,3.9931,4.36308,3.01139
111,5.12861,-1.03202,2.41834
112,4.56716,2.21159,1.49985
113,4.49012,-1.64859,13.2955
114,4.37403,3.76263,0.881992
115,4.59962,2.3384,1.7466
116,4.60483,2.48824,1.59239
117,4.78949,4.86224,-7.32374
118,4.94003,2.98331,-3.92331
119,4.72187,2.16372,1.45337
120,4.1411,5.60944,0.395518
121,4.1411,5.60944,0.395518
122,4.62161,2.96718,1.69629
123,4.78681,2.28454,1.80512
124,4.80565,2.30382,1.8157
125,4.6881,2.92606,1.82428
126,4.70917,2.90017,1.79417
127,4.83265,2.52901,1.68303
128,4.83265,2.52901,1.68303
129,4.29864,5.01633,2.88732
130,5.72472,-1.2749,1.32467
131,4.66781,4.31266,1.60588
132,3.89239,5.86626,8.19013
133,4.86363,-0.28367,11.9684
134,6.431,-1.01206,-5.90192
135,4.69099,-0.0727345,16.5261
136,5.66322,1.38462,0.150305
137,5.82084,1.07446,0.0883909
138,5.01424,4.86057,2.13841
139,5.64508,2.01324,2.95617
140,5.44433,3.69994,3.23617
141,5.74072,4.30441,1.39551
142,5.90895,4.0001,-0.0876345
143,5.61731,6.81592,-0.154961
144,6.28742,2.08556,5.84221
145,6.60977,2.74309,2.55578
146,8.73762,-3.57169,-9.40422
147,7.30455,1.3645,-1.2724
148,5.09443,4.14047,23.891
149,5.46265,5.64427,21.1674
150,7.60263,0.000300976,9.95903
151,5.16182,10.7166,16.8906
152,5.22396,10.3638,16.9984
153,9.58172,-5.75108,4.15554
154,7.87412,6.67141,-2.78901
155,7.83218,8.27155,0.0708057
156,7.9884,3.97813,11.224
157,8.41096,-1.57654,24.4134
158,8.41096,-1.57654,24.4134
159,10.6806,-10.9215,21.0609
160,10.0198,1.70333,3.32051
161,8.71917,4.36904,17.9594
162,10.761,2.44863,-1.88532
163,14.3866,-3.93408,14.6138
164,14.1292,6.91585,17.8455
165,16.3396,9.83983,7.08077
166,17.6432,8.27408,5.73561
167,14.2393,20.0502,30.2941
168,17.5846,13.0697,3.18438
169,26.6212,13.5405,-5.55599
170,27.4814,5.93644,10.7206
171,57.4873,32.1907,24.8529
172,75.6126,-42.5899,17.6452
