No.,x,y,z,scale_x,scale_y,scale_z,rot_x,rot_y,rot_z,rot_w,color_r,color_g,color_b,opacity,depth
48,1.40816,1.36057,0.136526,0.00704392,0.00659168,0.0259691,0.382901,0.0500445,0.747506,0.244376,1.07199,2.52794e-42,0.73607,0.035635,0.47682
49,0.335263,0.73121,-0.458629,0.00253568,0.000128405,0.0146731,0.99581,-0.00775463,0.0729543,0.0545801,1.24913,1.26911,1.2602,0.778298,0.48003
50,0.13661,0.944276,1.95254,0.0153974,0.000837087,0.000846862,0.942494,0.0873616,-0.30246,0.112212,0.887524,0.801728,0.969849,0.0265592,0.483827
51,0.920406,1.89534,-0.632029,0.000459913,0.00781716,0.000781275,0.102643,-0.294784,0.113545,0.929432,0,0.217149,0.154255,0.0591028,0.484827
52,1.57214,0.271743,-0.635703,0.000428478,7.31054e-05,0.0344793,0.134668,0.0815771,-0.182813,0.981408,0.486949,0.757886,0.77941,0.0970537,0.489155
53,0.239179,1.34058,0.924758,0.0214594,0.000850671,0.00878304,0.00475024,0.0176446,0.00411846,0.970675,1.15315,0.586974,0.899484,0.0191752,0.494793
54,6.1125,-5.15291,-0.527079,0.0854679,0.126922,0.0436292,0.195603,0.423465,0.13327,0.964345,0.0454414,0.815122,1.16201,0.00472669,0.495992
55,1.74753,-0.470593,0.970516,9.57936e-05,0.00203292,0.00375289,-0.0825712,-0.113916,0.821603,0.237893,0,0,0,0.0375228,0.499255
56,-2.95354,-0.612527,-0.946166,0.0111136,0.0300587,0.000336348,0.394106,0.0157101,-0.0820518,0.9246,0.641213,0.594681,0.649704,0.0649443,0.518247
57,0.553687,1.02086,0.642657,0.0139514,0.00170707,0.020672,-0.230122,0.076317,0.871954,0.123613,0,0,0.529004,0.0449887,0.5213
58,1.65566,1.92329,-0.513529,0.00801026,0.00441096,0.0252851,0.290048,-0.0433818,0.838465,0.000340178,0.0694793,1.15248,0.515594,0.146489,0.522521
59,-60.0341,-34.7916,-6.59322,0.00477993,0.37887,0.337795,0.12663,0.945152,0.210113,0.0262769,2.55737e-42,0.599373,0.585408,0.0553988,0.524579
60,-0.941842,-0.0554677,3.44359,0.0151299,0.0235617,0.0136188,-0.119371,0.996181,0.0427311,0.076134,0.620128,0.475049,0.052809,0.256166,0.526854
61,-40.3502,-63.8153,13.7465,0.00287075,0.00539596,0.00198177,0.103929,0.587042,0.196052,0.868711,2.55877e-42,3.52234,2.55877e-42,0.432631,0.53094
62,0.686935,1.92058,-0.793344,0.00103382,0.0015646,0.00617241,0.922508,-0.10125,0.354477,-0.114341,0.593962,0.386316,0,0.0668006,0.546548
63,35.2122,-45.766,-79.9768,0.0128521,0.130829,0.147441,0.0566607,-0.00394006,-0.0409953,0.525831,2.54616e-42,2.96235,2.54616e-42,0.036639,0.549292
64,-6.31304,0.835326,4.06312,0.176699,0.2639,0.00237461,-0.0563317,-0.0190283,0.00676367,0.980004,0.0215957,0.213034,0.675061,0.0864799,0.549876
65,1.23029,-0.294953,0.663477,0.00141482,0.00165202,0.00959894,0.959245,-0.122693,-0.253015,-0.0279002,0.808377,0.790144,0.570922,0.012287,0.551303
66,-5.49758,0.78403,-0.946,0.00299223,0.0027433,0.06338,0.335786,0.16892,0.707812,0.649693,0.119408,0,0,0.0208141,0.552228
67,21.2713,-34.6749,-73.5853,0.0875757,0.000190533,0.000297386,0.984666,0.0654133,0.160119,0.0227263,2.54891,2.56297e-42,2.55016,0.00659852,0.554135
68,0.944276,1.95254,-0.494556,0.000837087,0.000846862,0.00159292,0.0873616,-0.30246,0.112212,0.964492,0.801728,0.969849,0.339982,0.110987,0.554698
69,-0.00933614,-0.950732,-2.31134,0.000124577,0.000464982,0.00175925,0.143791,0.938287,-0.210832,0.131595,0.979497,0.749087,0.599907,0.0217434,0.555233
70,0.331316,1.85433,-0.0286758,0.00348001,0.0102672,0.0140792,0.436743,-0.50682,0.588827,0.453511,0.982366,0.647985,0.643216,0.014662,0.555758
71,1.98707,0.135112,0.757987,0.0123245,0.00532037,0.00294777,0.0650288,0.957814,0.133843,-0.118264,0.752233,0.770504,0.633098,0.0674273,0.558988
72,-4.37494,12.4022,-2.23839,0.00074123,0.00414981,0.00420408,0.941532,0.00937144,0.33621,-0.0198107,0,0,1.20611,0.0181152,0.562226
73,-0.80134,0.33903,0.903082,0.0123543,8.35767e-05,0.00484247,0.880753,-0.147004,0.164709,-0.418969,0,0,0.781884,0.0125547,0.562482
74,-1.16669,-2.99048,0.190718,0.00852885,0.00812576,0.00015751,0.756479,0.0791588,-0.406844,0.505916,0.970773,2.60922e-42,0.190145,0.00392086,0.563156
75,-1.59658,-0.176365,-1.28255,0.0181328,0.00160673,0.00025923,-0.532567,0.16943,0.98587,-0.0174976,0,0,0,0.0515231,0.563179
76,-1.77652,-0.792899,-1.35882,0.00315498,0.044238,0.000761607,-0.0292159,0.859359,0.257316,0.351933,0.521501,0.654335,0.484934,0.0321548,0.563216
77,1.05965,9.14933,32.8573,0.000490492,0.066847,0.0127907,0.31601,-0.520858,-0.401532,0.758295,0,0,2.56017e-42,0.0889645,0.564872
78,0.658773,1.56286,-1.85059,0.00210961,0.000411045,0.00560355,-0.198695,-0.415995,0.806139,-0.550131,0.446213,0.452426,0.0849972,0.0117518,0.565428
79,0.193287,2.47376,-4.7079,0.0302048,1.4717e-05,0.00295675,0.466259,0.79663,0.590617,-0.117677,1.31354,1.41471,0.724472,0.18171,0.566113
80,-0.707505,1.25351,0.82191,0.014386,0.0148413,0.0409185,0.359601,0.980837,-0.0846085,-0.146387,0.592388,0.674871,0.0822713,0.0489235,0.566398
81,0.732532,-0.0748847,1.02123,0.000537357,0.00144509,0.00106289,0.989472,-0.122201,0.0569233,-0.0526474,1.21187,1.16741,0.887778,0.463886,0.569135
82,0.716085,0.29166,-3.93678,9.31934e-05,0.000511068,0.0299891,-0.0379877,0.267497,0.0147464,0.858738,1.52174,1.42734,0.321717,0.25974,0.574538
83,-0.201717,1.50984,1.60718,0.0047219,0.00560557,0.00653987,-0.18266,-0.0342323,0.196585,0.804563,0.655321,0.601559,0.350237,0.0120995,0.578158
84,2.3398,0.0921666,1.21315,0.00269555,0.00109585,0.00222437,0.0050628,0.939536,0.0275149,-0.341044,1.05096,0.951377,0.811368,0.346577,0.581671
85,-1.83387,-1.87009,-0.652177,0.00247361,0.0236822,0.000440483,-0.421864,0.048667,0.759539,0.425913,1.13208,0,0,0.0163937,0.583743
86,0.459501,0.424722,2.92062,0.000457651,0.00983988,0.00205322,0.997147,0.0105451,0.0494672,-0.0560301,1.06325,0.911383,0.910078,0.0228057,0.584599
87,-1.10938,-0.289877,-0.701624,0.000724449,0.0181905,0.00639142,0.0797471,-0.199951,-0.0578974,0.702877,1.3186,1.21579,0.82463,0.0121117,0.58747
88,-30.1048,-57.311,42.2465,0.0433735,0.00790174,0.0332054,0.138959,0.966517,-0.22669,0.090956,2.58119e-42,8.36647,2.58119e-42,0.0249377,0.587539
89,0.914757,-1.01986,-0.254544,0.00467337,0.0193441,0.0314614,0.298438,0.903798,0.0787154,-0.413402,0,0.422629,0.571074,0.0455321,0.588431
90,0.416576,-2.52331,-6.04359,0.0118675,0.00430408,0.00153367,0.094724,0.592344,-0.271344,0.66743,0.223658,0.228317,0.936407,0.0357845,0.589269
91,0.939027,2.07595,-2.38754,0.00183281,0.0105202,0.00881341,0.510665,0.0914895,0.139774,0.896679,0.146639,0.276844,0.0677899,0.0408951,0.589864
92,-2.17289,0.198538,-1.61359,0.0027995,0.00104748,0.00301896,0.905381,0.128675,-0.157056,0.372909,0.556958,0.555695,0.540042,0.0437406,0.590132
93,52.1037,-55.0932,-87.4264,0.183024,0.0645917,1.13505,0.155768,0.0604592,-0.0584598,0.913216,2.56297e-42,3.5206,2.56297e-42,0.0485573,0.590411
94,-0.538534,5.33497,-12.5339,0.00194207,0.0145511,0.000561442,0.10232,-0.297933,0.965753,0.198423,1.1572,2.56718e-42,0.296902,0.00392011,0.590539
95,0.721076,0.429245,-1.87665,0.000761162,0.000463788,0.0395088,-0.170893,-0.0648238,0.843936,-0.329956,0.501498,0.475261,0,0.00392,0.590662
96,-0.844211,-0.374791,-3.54566,0.00572282,0.0069821,0.00040702,-0.247347,0.0637136,0.828392,-0.00748379,1.35252,2.61342e-42,1.3526,0.0325455,0.591879
97,-0.908444,-2.5571,-12.8315,0.00753729,0.000402259,4.7494e-05,-0.132021,0.988247,0.109895,0.097804,2.57839e-42,0.842341,0.701164,0.0860138,0.592404
98,0.413891,-1.87507,0.627909,0.00824509,0.0023765,5.4214e-05,0.872449,-0.412549,0.15214,-0.213283,0.802333,1.26044,1.25685,0.00392005,0.592552
99,1.52372,0.652596,0.477975,0.0355564,0.000837816,0.00021184,-0.0484208,0.947139,0.0516629,-0.315766,0.545018,0.501106,0.466546,0.0330679,0.593094
100,1.98257,-0.659779,1.21865,0.000432037,0.00133205,0.0121845,0.992433,-0.0547036,-0.0957797,-0.0539574,0.929494,0.874372,0.656923,0.00391525,0.593862
101,2.35252,-0.173442,1.24514,0.000765682,0.0162055,0.00323153,0.042966,0.869513,-0.0448098,0.14415,0.245745,0.148744,0.016793,0.022234,0.594627
102,0.346928,1.93888,-0.634857,0.0289809,0.00713101,0.012239,0.89789,0.0277418,-0.439175,-0.0121693,0.808877,1.39794,0.833379,0.0801574,0.599189
103,-13.194,-3.51958,18.5398,0.0189177,0.0713102,0.00156233,0.103914,0.787649,-0.138331,0.359862,1.16464,1.10723,1.19555,0.0994556,0.600336
104,-0.808412,0.404262,-1.55578,9.45458e-05,0.000713362,0.0106859,-0.555941,-0.0232332,0.972613,-0.0414302,1.02234,0.914416,0,0.0378756,0.602708
105,-0.435777,0.651163,0.495191,0.00986224,3.72746e-05,0.0350401,-0.170684,-0.410751,0.990014,0.0319287,0.621356,0.626977,0.682039,0.0491913,0.615945
106,-0.106035,-1.49629,-4.52052,0.000171837,0.0072289,0.00108998,-0.166557,0.971628,-0.20382,0.096957,0,0,1.70635,0.0181517,0.625603
107,-1.63326,1.00309,0.235912,0.0136221,0.000127912,0.0121199,0.120448,-0.129392,0.11984,0.92642,0.56646,0.925252,0.942848,0.00385868,0.628747
108,-0.823569,0.0242351,0.237849,0.0031158,0.0149862,7.85462e-05,0.208445,0.957278,0.104301,-0.188624,0.507299,0.570495,0.652622,0.106547,0.630336
109,-6.40485,3.17769,-12.8904,0.023145,0.0270058,0.00480233,0.964107,-0.187112,-0.148567,-0.115825,2.43123,2.54896e-42,0.936973,0.0120359,0.633065
110,3.4261,4.39899,-0.166269,3.86294e-05,0.00224638,0.0638142,0.993425,-0.00011186,0.113225,-0.0169485,0.763577,0.256561,0.296636,0.00387329,0.63665
111,-1.11371,-0.822763,8.57122,0.00945181,0.00496904,0.0108175,0.044102,0.956448,-0.188463,-0.189995,0.807394,0.767451,0.758986,0.0319422,0.638622
112,0.58497,1.02787,-4.64051,0.00414134,0.00603531,0.0064097,0.95912,0.114904,0.145701,0.213674,0.220308,0.261392,0.614285,0.0152472,0.639112
113,0.371262,-1.63953,-2.48037,0.00473278,1.00725e-05,0.00950493,0.938928,-0.0488706,-0.13064,0.314577,0.675874,0.617,0.475888,0.0538264,0.639251
114,-41.5633,-77.7461,69.5299,0.0977781,0.00985009,0.0234956,0.00339679,0.928638,0.294354,-0.0808282,2.54616e-42,2.97476,2.54616e-42,0.0558122,0.639359
115,0.618863,0.600817,0.96299,0.00318894,0.0357608,0.0123931,-0.207773,-0.192418,0.991451,-0.0904441,0.238006,0.317203,1.06328,0.00709572,0.639733
116,28.9576,-53.2076,-89.5082,0.00162676,0.00737266,0.000372879,-0.315584,0.90725,-0.419587,-0.00707698,2.54616e-42,2.99133,2.54616e-42,0.0369619,0.641664
117,7.86571,-3.86153,12.6488,0.00393865,0.0220262,0.000226943,0.40329,-0.0368192,0.923401,-0.0867705,0,0,0,0.00392056,0.642632
118,1.03988,1.61432,-0.844661,3.15692e-05,0.0382982,0.00437913,0.951766,-0.0517736,0.255759,0.161398,0.09095,0,0,0.0337554,0.643455
119,0.598099,-0.262185,0.416599,0.00692158,0.00608628,0.147138,0.900355,0.214359,-0.171134,-0.337824,4.321,2.45928e-42,0,0.0230635,0.644522
120,0.599101,0.983463,0.685372,0.016463,0.00548232,0.0429817,0.351372,-0.406035,-0.662471,0.679401,0.212217,0.244295,1.09664,0.0145458,0.646381
121,-2.10841,-0.72162,-1.24684,0.00324023,0.01126,0.0041926,-0.227879,0.0686186,0.95866,-0.17442,0,0.145573,0.066983,0.00391745,0.647973
122,1.89263,-0.719003,1.15618,0.00174879,0.0136993,0.00462703,0.0642138,0.125176,0.134404,0.88044,0.271275,0.340595,0.346589,0.0204731,0.648425
123,1.11254,-0.758431,-2.72784,0.000805955,0.00476361,0.00583298,0.955499,0.229697,0.147529,-0.111782,0.762631,2.55877e-42,0.76281,0.00391435,0.65645
124,0.434819,-0.012226,0.0781827,0.0871751,0.00218409,7.19006e-05,-0.235428,0.232963,0.831771,0.222366,0,0,0,0.0106195,0.657277
125,1.69365,4.94721,-1.34894,0.0277926,0.0484147,0.00154817,-0.248726,0.498779,0.877642,0.124404,0.714692,2.54336e-42,2.36255,0.0594356,0.65799
126,-1.75202,42.5424,-56.0407,0.00717607,0.16938,0.0126663,0.848867,0.411103,-0.305956,-0.129653,1.04741,2.59941e-42,9.46602,0.018297,0.658098
127,1.20661,1.31738,0.891975,0.00785799,0.000855452,0.00364662,-0.0750798,-0.0904899,0.899078,-0.398617,1.11533,0.699778,0.770335,0.0337964,0.660577
128,0.213083,-0.858254,0.0888734,0.134363,0.00764052,0.0027076,-0.143384,-0.296406,-0.162002,0.851575,0.278281,0.489857,0.5526,0.0884344,0.664175
129,-0.631951,-1.50763,-3.00853,0.0152355,0.00960917,0.000159809,0.910045,0.182164,0.369367,0.0469272,0.322964,0.18561,0.7014,0.0633346,0.664438
130,1.22991,-0.628349,-2.95479,0.00645022,0.0185207,0.00609635,-0.0314382,0.65041,0.459769,-0.00694629,2.55877e-42,1.84956,2.55877e-42,0.0317958,0.667619
131,1.86854,-0.164462,0.997272,0.00396072,0.000189392,0.0151443,-0.0462313,-0.562963,-0.0793086,0.945337,0,0,0,0.0227299,0.673042
132,0.384217,1.59996,1.48809,0.0193814,0.00221872,0.00534544,0.281599,0.924636,-0.346828,-0.150944,0,0,0.983387,0.00319451,0.673697
133,-0.658,-1.21319,2.20015,0.0102712,0.0150692,0.0130753,-0.209954,0.227321,-0.274898,0.984106,0.39093,0.309408,0.275766,0.00390618,0.676071
134,0.386144,-1.54255,0.204635,0.000108397,0.102266,0.0385849,-0.0714887,0.950589,0.145223,0.204035,0.290704,0.0645655,0.0803935,0.0289815,0.677223
135,0.325925,0.317498,1.00166,0.00169874,0.00226037,0.0166056,0.0123168,-0.0513179,0.961498,-0.0724063,0.245644,0.23798,0.278997,0.0319963,0.678596
136,0.0731835,1.05285,1.3641,0.00360913,0.00671146,0.000779608,-0.131332,0.59844,-0.38909,0.136259,0.792021,0.665697,2.55877e-42,0.0608661,0.682762
137,0.476252,0.0902802,0.189171,0.0004551,0.00671137,0.0246443,0.955298,0.12421,0.130609,0.234348,0.71293,0.668579,0.618379,0.0166183,0.68356
138,1.58941,-0.566533,0.919966,0.00291027,0.00547609,0.000167116,-0.0682194,-0.309658,-0.346887,0.943826,0.0153166,0.813886,0.915257,0.0305724,0.685719
139,-0.24756,2.2522,0.881511,0.00128899,0.00723083,0.0013423,-0.0100327,0.130745,0.0562365,0.965831,0.779153,0.559835,0.583827,0.0346077,0.689078
140,-1.74463,1.68027,0.598233,0.00457787,0.150257,0.013129,-0.00792033,0.827346,0.438876,-0.0135781,0,6.17927,2.46208e-42,0.587118,0.692092
141,-47.3599,-77.1876,19.9633,0.0602601,0.0428704,0.00150428,0.259483,0.709354,0.457969,0.450049,2.60081e-42,4.98138,2.60081e-42,0.0226345,0.703171
142,-12.7505,-1.02459,3.40038,0.0167127,0.0156984,1.21488e-05,-0.192881,0.064316,0.594646,0.896552,0.68298,0.703673,0.65375,0.00374328,0.709592
143,-2.04716,-0.706416,-1.20954,0.00687759,0.00224414,0.0020526,-0.0412327,0.480651,-0.0893659,0.983729,1.01647,0.986981,0.906442,0.0397208,0.721011
144,-2.81016,-7.87738,-2.81678,0.000496239,0.0916666,0.021115,0.999644,-0.0208153,0.0161954,-0.00395056,6.20443,0.995572,1.07081,0.0160162,0.734474
145,-0.396418,0.282524,-2.57584,0.0234692,0.02554,0.015293,-0.163462,0.881031,0.193083,-0.207413,0.571738,0.501507,0.51973,0.203624,0.738259
146,0.0469293,-1.63326,1.00309,0.00220142,0.0136221,0.000127912,0.976928,0.120448,-0.129392,0.11984,0.619074,0.56646,0.925252,0.0159712,0.743572
147,0.462902,1.81914,0.146897,0.0124892,0.0179393,0.00136445,-0.198059,0.481636,0.0917017,0.967636,0.568229,1.11436,0.906958,0.0977957,0.75005
148,0.334631,1.61952,1.76333,0.0268553,0.0142002,0.0144344,-0.0239316,0.895324,-0.224869,-0.144883,0.267547,0.160824,2.47189e-42,0.834734,0.750153
149,-0.293246,-1.37521,2.18137,0.00102547,0.00234259,0.00309347,-0.0263731,0.939395,-0.146066,0.167199,0.541307,0.498766,0.517134,0.0271397,0.754086
150,-2.77125,0.568028,-2.0456,0.00549262,0.00254273,0.000136458,0.138943,0.205686,0.0657967,0.96602,1.45949,1.53461,1.51862,0.0715134,0.755005
151,-0.867975,0.14027,0.368219,0.000150273,0.0238648,0.0439378,0.905303,-0.288632,-0.297757,-0.0919743,0.127792,0.106856,0.206322,0.0390366,0.755485
152,-0.982961,-3.71705,1.942,0.0291239,0.00462694,0.00139857,-0.300756,0.110632,0.997918,0.00272872,6.01194,2.47189e-42,0.485362,0.0427735,0.760071
153,0.897737,-0.237001,1.2692,0.00229677,0.00141358,0.00343073,0.400198,0.00489767,-0.214574,0.94749,0.0548951,0.0182637,0,0.0350056,0.760602
154,-1.33278,0.616119,0.73675,0.0251984,0.00129182,0.00234363,0.711173,-0.425886,-0.427242,-0.360996,0.364789,1.39425,1.351,0.0805653,0.762688
155,-1.60332,-0.469254,-0.120615,0.00372236,0.00734323,0.00133223,0.216819,0.926379,-0.126481,-0.328837,0.108973,0.126243,0.228481,0.0404763,0.762732
156,2.79641,-1.30941,1.02676,0.284011,0.00136776,0.0184317,-0.493046,0.218252,0.976288,-0.11764,0.983843,1.04406,1.00426,0.180828,0.763712
157,-47.0849,-64.2975,-1.16802,0.00447493,0.0171946,0.0173914,0.796953,0.383509,0.27775,-0.375023,0.912802,2.56157e-42,0.912838,0.0442018,0.765348
158,-0.546345,-0.350362,3.5611,0.0852081,0.0266965,0.0147856,0.463651,-0.0756112,0.914836,0.280813,0.498891,0.449279,0.29122,0.0693098,0.777549
159,2.45674,0.894128,2.24459,0.0184404,0.00342636,0.039787,0.974558,-0.194113,-0.0823308,-0.0760216,0.430949,0.521962,0.606252,0.136437,0.787275
160,-1.41196,1.90814,0.747721,6.96295e-05,0.000384612,0.00256053,-0.0849461,-0.309099,-0.448004,0.958164,0.812569,0.917893,0.919667,0.030976,0.795027
161,1.63179,0.69608,-0.565101,0.026416,0.00520222,0.0166088,0.490344,-0.0658629,0.809768,-0.148655,0.236016,0.434277,0.619278,0.202109,0.799166
162,0.779346,-0.530906,1.21125,0.00811618,0.0128359,0.00010474,0.0272471,-0.44337,-0.00875505,0.965259,0.130899,0.18121,0.233722,0.0359749,0.800774
