No.,x,y,z
109,1.94813,0.324845,-3.89524
110,0.284535,-1.60524,-1.80337
111,0.450987,-1.38364,-2.14819
112,0.776827,-1.0262,-2.59178
113,1.39162,-2.988,-3.86026
114,0.814399,-0.889675,-2.65573
115,0.729905,-0.762125,-2.5722
116,0.729902,-0.762121,-2.5722
117,0.794419,-1.20348,-2.78262
118,0.78571,-0.893561,-2.71906
119,0.647548,-0.986787,-2.62132
120,0.705669,-1.16156,-2.74163
121,0.678656,-0.767234,-2.64471
122,0.683312,-0.784349,-2.68008
123,0.698647,-0.871338,-2.78043
124,0.717285,-0.800726,-2.8072
125,1.02558,-1.09526,-3.3307
126,0.617513,-1.15623,-2.76382
127,0.594474,-1.05274,-2.71257
128,0.636091,-0.80591,-2.73095
129,0.587615,-1.13088,-2.72698
130,0.591785,-1.11035,-2.7376
131,0.682773,-0.883691,-2.8492
132,0.570619,-1.04192,-2.71617
133,0.521077,-1.09513,-2.66828
134,0.571797,-1.03696,-2.7329
135,0.62236,-0.606637,-2.74531
136,0.727955,-0.849039,-2.94293
137,0.512504,-0.927918,-2.64599
138,0.561102,-1.05802,-2.74046
139,0.614139,-0.586888,-2.73714
140,0.657774,-1.20334,-2.91523
141,0.5323,-1.06803,-2.71228
142,0.546946,-1.03042,-2.7437
143,0.533971,-1.06982,-2.73335
144,0.496247,-1.10451,-2.68455
145,0.518141,-0.951499,-2.69748
146,0.530239,-1.12491,-2.74734
147,0.584449,-1.03911,-2.81204
148,0.551358,-0.980787,-2.76194
149,0.315051,0.0327809,-2.23947
150,0.488092,-1.08084,-2.7048
151,0.510751,-1.04762,-2.73343
152,5.37187,-7.07804,-10.9309
153,0.569364,-0.913513,-2.81644
154,0.613667,-1.21988,-2.94208
155,0.671171,-1.05575,-3.01317
156,0.530119,-1.04356,-2.80769
157,0.516444,-1.00434,-2.78659
158,0.440525,-1.02119,-2.68631
159,0.484506,-1.01686,-2.77445
160,0.475622,-1.05214,-2.76876
161,0.550241,-0.745836,-2.8259
162,0.476646,-0.95699,-2.75568
163,0.0129083,-0.181557,-1.95209
164,0.50145,-1.16121,-2.85894
165,0.436971,-1.1064,-2.7588
166,0.520623,-1.17895,-2.89533
167,-0.119513,-0.461527,-1.84704
168,0.439844,-1.05912,-2.77231
169,0.445186,-0.960378,-2.7693
170,0.453052,-1.00042,-2.79359
171,0.54068,-1.24222,-2.98331
172,0.444981,-1.14356,-2.84965
173,0.391293,-1.05223,-2.75675
174,0.411153,-1.05408,-2.78716
175,0.390452,-1.09808,-2.77422
176,0.390434,-1.09808,-2.77421
177,0.440444,-1.04956,-2.84334
178,0.397244,-1.05565,-2.78411
179,0.461298,-1.16459,-2.89795
180,0.445439,-1.1529,-2.87457
181,0.401042,-1.05859,-2.80526
182,0.459341,-1.17571,-2.92387
183,0.389063,-1.05373,-2.80358
184,0.377084,-1.11723,-2.81839
185,0.631703,-1.09863,-3.19504
186,0.351261,-1.06352,-2.79835
187,0.176637,-0.920409,-2.52618
188,0.415119,-1.16056,-2.93045
189,0.448071,-0.714448,-2.90653
190,0.481394,-1.21554,-3.04642
191,0.447964,-1.18863,-2.99722
192,0.327737,-1.04102,-2.80627
193,0.351116,-1.05104,-2.85159
194,0.416883,-0.858409,-2.94242
195,0.547866,-1.22965,-3.21576
196,0.486462,-0.881317,-3.07176
197,0.361086,-1.01658,-2.91935
198,0.441611,-0.898785,-3.03177
199,0.496658,-0.931008,-3.1272
200,0.302519,-0.935579,-2.87098
201,0.449583,-0.848954,-3.07283
202,0.407834,-1.03922,-3.06247
203,0.518522,-0.923458,-3.21206
204,0.50857,-0.439412,-3.1201
205,0.319826,-0.788458,-2.92148
206,0.292049,-0.651237,-2.88241
207,0.349999,-0.896299,-3.01945
208,0.0334058,-1.89389,-2.74847
209,0.45064,-0.72427,-3.20382
210,0.24842,-0.907334,-3.00158
211,0.250826,-0.807328,-3.00077
212,5.89708,2.41664,-10.7021
213,0.177373,-0.912983,-2.96611
214,0.197148,-0.754572,-2.9799
215,0.249773,-0.813897,-3.09801
216,0.226801,-0.941528,-3.11588
217,0.308574,-0.741867,-3.22837
218,0.137726,-0.748609,-3.00386
219,0.172142,-0.878453,-3.17507
220,0.142679,-0.828031,-3.13388
221,0.0792308,-0.795153,-3.07506
222,0.112776,-0.90598,-3.18764
223,0.147841,-0.806818,-3.27223
224,0.630938,-3.14757,-4.40208
225,0.0983794,-0.939984,-3.23256
226,0.359066,-1.64146,-3.74604
227,0.108224,-0.972227,-3.29553
228,-0.0341819,-1.00895,-3.12642
229,0.0840883,-0.97327,-3.33273
230,0.914926,-1.81247,-4.75902
231,-0.078281,-0.912793,-3.15559
232,-0.144054,-0.924765,-3.22844
233,-0.127405,-2.58972,-3.68996
234,-0.209319,-0.980903,-3.29815
235,-1.18945,1.92812,-1.35092
236,-0.0413987,-0.0604713,-3.59593
237,0.0645653,0.0697178,-4.07843
238,-0.603001,-0.796855,-3.54023
239,-4.44347,-3.13452,0.844801
240,-1.2737,-1.86373,-3.9504
241,0.825867,-1.24383,-6.9387
242,-0.0846253,-0.958936,-5.64967
243,-0.084635,-0.958932,-5.64968
244,-12.1398,5.3471,12.5367
245,-1.71595,-1.40526,-4.83193
246,-1.96044,-0.302569,-4.83312
247,38.616,1.90435,-64.5873
248,-2.41215,-0.694784,-5.07066
249,-3.66655,2.24108,-4.7765
250,-2.72907,0.0592188,-6.97006
251,-27.381,-1.93828,28.5288
252,-2.32143,0.0835976,-8.02781
253,-2.92605,0.035604,-7.55314
254,-2.92616,0.0356109,-7.55308
255,-4.04942,-2.01068,-6.63358
256,2.28558,4.78634,-15.6454
257,-2.57006,-0.0390889,-9.91493
258,-2.29033,-3.66862,-11.0757
259,-4.27184,0.221793,-7.91266
260,-2.93568,-0.04514,-10.0841
261,-4.27348,0.193873,-8.59247
262,-6.02198,-2.84864,-8.26522
263,1.08463,4.91892,-19.5928
264,17.3727,-18.6928,-47.8702
265,17.2755,-18.822,-47.7953
266,-3.9394,0.223183,-13.8771
267,-5.62311,-0.207391,-11.6251
268,-5.5884,-0.278382,-13.2101
269,-45.1882,6.51073,45.5122
270,-7.55459,2.49639,-11.9341
271,-6.16881,-5.97228,-16.2668
272,-10.6296,0.0232732,-11.4843
273,2.88243,6.34501,-30.9877
274,-5.33563,-1.20635,-25.4516
275,-7.71238,-3.44097,-26.2149
276,-7.91442,-3.85064,-26.4376
277,-6.44515,-3.41353,-31.0766
278,-77.5715,6.11722,56.5226
279,-44.6662,-12.5268,-12.1913
280,-21.4777,-17.0063,-63.8789
281,-52.5046,-12.8326,-34.4956
